timestamp,Sulf,Ammo,Tota,Blac,Benz,Ozon,PM2.,PM10,Nitr,Carb,Relative H,Precipitat,Wind Speed,Atmospheri,Net Radiat,Wind Direc,Global Rad,Temperatur,sm_Relative H,sm_Precipitat,sm_Wind Speed,sm_Atmospheri,sm_Net Radiat,sm_Wind Direc,sm_Global Rad,sm_Temperatur,traffic,sm_traffic,EURO_3,EURO_2,EURO_4,EURO_5,EURO_1,EURO_6,EURO_7,VType_4,VType_3,VType_1,VType_2,FType_1,FType_2,FType_4,FType_5,FType_3,DPF_2,DPF_1,small_len,med_len,lg_len,mon,tue,wed,thu,fri,sat,sun,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0-15m,15-30m,30-45m,45-60m
2013-11-01 01:00:00,123.0,1.7749999999999992,123.66666666666667,4.784900000000003,2.3055,7.666666666666667,87.0,111.66666666666667,62.0,1.5250000000000001,89.8,0.0055,0.6390000000000001,1007.3,-54.0,311.0566666666667,0.0,11.6,89.8,0.0055,0.6390000000000001,1007.3,-54.0,311.0566666666667,0.0,11.6,1180,1761.0000000000002,42,2,121,472,1,420,7,1025,27,3,10,383,537,91,54,0,690,375,59,995,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,322,297,226
2013-11-01 02:00:00,109.0,1.7239999999999993,120.0,4.579550000000003,2.345,7.666666666666667,85.5,87.33333333333333,54.625,1.4500000000000002,89.6,0.0045,0.8563333333333332,1006.9,-50.0,262.805,0.0,11.200000000000001,89.80000000000001,0.0055000000000000005,0.6390000000000001,1007.3000000000001,-54.0,311.0566666666667,0.0,11.6,787,1644.8000000000002,25,7,86,300,1,277,6,670,20,5,7,263,335,66,38,0,464,238,56,635,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,179,175,194
2013-11-01 03:00:00,78.0,2.0499999999999994,107.66666666666667,4.882499999999999,2.30275,8.333333333333334,71.5,67.33333333333333,47.75,1.325,90.8,0.008500000000000002,0.7377777777777779,1006.6,-53.0,206.89166666666665,0.0,10.883333333333333,89.76000000000002,0.0053,0.6824666666666668,1007.2200000000001,-53.2,301.40633333333335,0.0,11.52,600,1473.2400000000002,20,1,74,236,0,199,3,504,21,1,7,186,269,54,24,0,358,175,24,502,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,144,136,148
2013-11-01 04:00:00,169.0,2.519999999999999,123.0,6.080000000000003,2.136,8.666666666666666,76.0,59.333333333333336,47.75,1.2249999999999999,91.6,0.0045,0.7696666666666667,1006.3,-56.0,284.91833333333335,0.0,10.533333333333333,89.96800000000002,0.005940000000000001,0.693528888888889,1007.0960000000002,-53.160000000000004,282.50340000000006,0.0,11.392666666666667,554,1298.5920000000003,23,1,83,245,1,145,5,461,32,2,8,216,245,29,13,0,355,148,29,464,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,136,151,139
2013-11-01 05:00:00,154.0,2.525999999999999,124.66666666666667,6.868100000000003,2.122,8.333333333333334,114.0,54.666666666666664,47.5,1.25,93.4,0.0175,0.8424444444444446,1006.1,-50.0,149.41666666666669,0.0,10.283333333333333,90.29440000000002,0.005652000000000001,0.7087564444444445,1006.9368000000002,-53.72800000000001,282.98638666666676,0.0,11.2208,555,1149.6736000000003,15,1,70,249,0,149,5,426,48,6,9,170,254,43,22,0,324,164,25,446,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,139,126,163
2013-11-01 06:00:00,144.0,2.512999999999999,123.66666666666667,6.883600000000003,2.12225,7.333333333333333,126.0,58.0,46.125,1.2750000000000001,93.6,0.0,0.6444444444444446,1006.1,-41.0,295.71999999999997,0.0,9.916666666666666,90.91552000000003,0.0080216,0.7354940444444446,1006.7694400000003,-52.98240000000001,256.27244266666673,0.0,11.033306666666668,623,1030.7388800000003,20,2,73,241,0,204,2,455,71,5,11,147,311,54,30,0,329,210,24,499,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,144,183,174
2013-11-01 07:00:00,149.0,2.5049999999999994,141.66666666666666,6.997200000000003,2.26275,7.0,122.0,63.0,46.625,1.35,94.4,0.001,0.8407777777777778,1006.1,-35.0,128.445,0.0,9.799999999999999,91.45241600000003,0.006417280000000001,0.7172841244444446,1006.6355520000003,-50.585920000000016,264.1619541333334,0.0,10.80997866666667,667,949.1911040000003,25,4,101,230,2,192,3,462,70,11,14,173,313,40,31,0,359,195,39,494,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,167,149,191
2013-11-01 08:00:00,187.0,2.529,146.33333333333334,7.0980000000000025,2.4850000000000003,7.0,131.5,69.0,48.75,1.375,94.4,0.0045,0.8701111111111113,1006.6,-7.0,83.06166666666667,32.0,10.316666666666668,92.04193280000004,0.005333824000000001,0.7419828551111113,1006.5284416000003,-47.468736000000014,237.01856330666672,0.0,10.607982933333336,921,892.7528832000003,28,5,105,307,2,296,2,648,72,11,14,250,401,52,42,0,452,291,49,668,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,214,237,267
2013-11-01 09:00:00,125.0,2.0189999999999997,118.33333333333333,6.1430000000000025,2.462,6.333333333333333,112.0,84.0,51.25,1.3499999999999999,89.8,0.006500000000000001,0.9267777777777777,1007.0,51.0,149.16,157.0,11.85,92.51354624000004,0.005167059200000001,0.7676085063111113,1006.5427532800003,-39.37498880000001,206.22718397866672,6.4,10.549719680000003,1537,898.4023065600003,70,10,168,538,6,504,11,1205,72,7,24,503,632,111,61,1,851,451,123,1151,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,366,416,454
2013-11-01 10:00:00,80.0,2.0610000000000004,93.66666666666667,4.037700000000002,1.93575,8.666666666666666,74.5,87.0,54.875,1.15,82.2,0.006500000000000001,1.0225555555555552,1007.0,168.0,158.29833333333335,302.0,13.333333333333336,91.97083699200005,0.005433647360000001,0.7994423606044447,1006.6342026240003,-21.29999104000001,194.81374718293338,36.52,10.809775744000003,2230,1026.1218452480002,66,15,211,749,6,825,23,1793,67,9,25,742,960,127,64,1,1132,759,134,1727,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,508,554,532,636
2013-11-01 11:00:00,82.0,3.429,71.66666666666667,3.4352500000000026,1.6922499999999998,13.0,57.5,64.0,56.25,0.975,73.4,0.04799999999999997,0.9370000000000002,1007.0,193.0,202.52499999999998,372.0,15.149999999999999,90.01666959360004,0.005646917888000001,0.844064999594667,1006.7073620992003,16.560007167999995,187.5106644130134,89.61600000000001,11.31448726186667,2405,1266.8974761984002,101,14,234,841,4,846,26,1965,64,10,28,803,1058,123,82,1,1270,791,159,1872,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,617,630,574,584
2013-11-01 12:00:00,70.0,1.9099999999999993,71.0,3.365450000000002,1.6470000000000002,16.0,60.5,52.666666666666664,57.125,0.95,71.6,0.10450000000000005,1.0227777777777776,1006.6,160.0,157.005,224.0,15.566666666666668,86.69333567488005,0.014117534310399997,0.8626519996757336,1006.7658896793603,51.8480057344,190.51353153041072,146.0928,12.081589809493336,2240,1494.5179809587203,84,13,203,793,8,793,30,1841,51,8,27,730,1010,112,72,3,1147,776,139,1751,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,587,576,553,524
2013-11-01 13:00:00,67.0,1.6809999999999996,57.0,3.1841999999999997,1.56675,15.333333333333334,62.0,43.333333333333336,54.0,0.875,71.6,0.17750000000000007,1.039111111111111,1005.9,140.0,192.07833333333335,185.0,15.65,83.67466853990405,0.032194027448320006,0.8946771552961424,1006.7327117434883,73.47840458752,183.8118252243286,161.67424000000003,12.778605180928002,1822,1643.6143847669762,62,16,174,635,3,627,24,1483,34,4,21,604,773,99,65,1,943,595,116,1398,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,516,448,471,387
2013-11-01 14:00:00,51.0,1.038999999999999,42.333333333333336,2.1147,1.16275,19.666666666666668,44.5,34.333333333333336,48.0,0.75,68.0,0.12600000000000008,0.9937777777777776,1005.3,142.0,212.64000000000001,227.0,15.933333333333335,81.25973483192325,0.06125522195865603,0.9235639464591362,1006.5661693947907,86.782723670016,185.46512684612958,166.33939200000003,13.352884144742402,1912,1679.2915078135811,62,15,209,635,0,686,18,1559,46,2,19,669,813,88,55,1,990,633,129,1474,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,433,454,486,539
