,MLR_ALL,MLR_Ridge,MLR_Lasso,MLR_ElasticNet
709,Mediocre,Mediocre,Mediocre,Mediocre
1407,Mediocre,Mediocre,Mediocre,Mediocre
1020,Mediocre,Mediocre,Mediocre,Poor
108,Acceptable,Acceptable,Acceptable,Acceptable
646,Poor,Poor,Poor,Poor
1276,Good,Good,Good,Good
586,Poor,Poor,Poor,Poor
456,Acceptable,Acceptable,Acceptable,Acceptable
1232,Mediocre,Mediocre,Acceptable,Acceptable
1028,Mediocre,Mediocre,Mediocre,Poor
676,Mediocre,Mediocre,Mediocre,Mediocre
152,Acceptable,Acceptable,Acceptable,Acceptable
584,Mediocre,Mediocre,Mediocre,Mediocre
1010,Mediocre,Mediocre,Mediocre,Poor
102,Good,Good,Good,Good
1348,Acceptable,Acceptable,Acceptable,Acceptable
1181,Mediocre,Mediocre,Mediocre,Mediocre
311,Acceptable,Acceptable,Acceptable,Acceptable
665,Poor,Poor,Poor,Poor
1391,Mediocre,Mediocre,Mediocre,Mediocre
1243,Mediocre,Mediocre,Mediocre,Mediocre
790,Poor,Poor,Poor,Poor
579,Mediocre,Mediocre,Mediocre,Mediocre
946,Poor,Poor,Poor,Poor
270,Mediocre,Mediocre,Acceptable,Acceptable
1241,Mediocre,Mediocre,Mediocre,Mediocre
139,Acceptable,Acceptable,Acceptable,Acceptable
685,Acceptable,Acceptable,Acceptable,Acceptable
415,Acceptable,Acceptable,Acceptable,Good
67,Acceptable,Acceptable,Good,Good
520,Acceptable,Acceptable,Acceptable,Acceptable
350,Acceptable,Acceptable,Acceptable,Acceptable
570,Mediocre,Mediocre,Mediocre,Mediocre
1014,Mediocre,Mediocre,Mediocre,Poor
934,Poor,Poor,Poor,Poor
925,Poor,Poor,Poor,Poor
1115,Poor,Poor,Poor,Poor
564,Mediocre,Mediocre,Mediocre,Mediocre
844,Mediocre,Mediocre,Mediocre,Mediocre
1046,Mediocre,Mediocre,Mediocre,Mediocre
1133,Mediocre,Mediocre,Mediocre,Acceptable
429,Acceptable,Acceptable,Acceptable,Acceptable
1119,Poor,Poor,Mediocre,Mediocre
258,Mediocre,Mediocre,Mediocre,Mediocre
680,Acceptable,Acceptable,Acceptable,Acceptable
131,Acceptable,Acceptable,Acceptable,Acceptable
1301,,,,
743,Poor,Poor,Poor,Mediocre
914,Poor,Poor,Poor,Mediocre
773,Poor,Poor,Poor,Poor
238,Acceptable,Acceptable,Acceptable,Acceptable
587,Poor,Poor,Poor,Poor
409,Acceptable,Acceptable,Acceptable,Acceptable
1222,Mediocre,Mediocre,Mediocre,Mediocre
304,Acceptable,Acceptable,Acceptable,Acceptable
843,Mediocre,Mediocre,Mediocre,Mediocre
515,Acceptable,Acceptable,Acceptable,Acceptable
1126,Poor,Poor,Poor,Poor
888,Mediocre,Mediocre,Mediocre,Mediocre
183,Good,Good,Good,Good
913,Poor,Poor,Poor,Poor
