,SLR_sm_Relative H,SLR_sm_Precipitat,SLR_sm_Wind Speed,SLR_sm_Atmospheri,SLR_sm_Net Radiat,SLR_sm_Wind Direc,SLR_sm_Global Rad,SLR_sm_Temperatur,SLR_sm_traffic,SLR_0-15m,SLR_15-30m,SLR_30-45m,SLR_45-60m,SLR_EURO_3,SLR_EURO_2,SLR_EURO_4,SLR_EURO_5,SLR_EURO_1,SLR_EURO_6,SLR_EURO_7,SLR_VType_4,SLR_VType_3,SLR_VType_1,SLR_VType_2,SLR_FType_1,SLR_FType_2,SLR_FType_4,SLR_FType_5,SLR_FType_3,SLR_DPF_2,SLR_DPF_1,SLR_small_len,SLR_med_len,SLR_weekend,SLR_morning,SLR_mid_day,SLR_evening
0,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre
1,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable
2,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre
3,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Good,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
4,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
5,Acceptable,Mediocre,,Acceptable,Mediocre,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Mediocre,Mediocre
6,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
7,Acceptable,Mediocre,Acceptable,Good,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
8,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre
9,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre
10,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre
11,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Good,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre
12,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre
13,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre
14,Acceptable,Mediocre,Mediocre,Good,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre
15,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre
16,Acceptable,Mediocre,Mediocre,Poor,Mediocre,Mediocre,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre
17,Acceptable,Good,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
18,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable
19,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
20,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
21,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
22,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
23,Acceptable,Mediocre,Mediocre,Poor,Mediocre,Mediocre,Mediocre,Poor,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
24,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre
25,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Acceptable
26,Mediocre,Mediocre,Mediocre,Acceptable,Acceptable,Acceptable,Mediocre,Good,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre
