,SVM,RF,BAG,ADA_BST,GDT_BST
0,Acceptable,Acceptable,Acceptable,Bad,Acceptable
1,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
2,Acceptable,Poor,Poor,Bad,Mediocre
3,Acceptable,Acceptable,Acceptable,Good,Acceptable
4,Acceptable,Mediocre,Mediocre,Bad,Mediocre
5,Acceptable,Good,Good,Acceptable,Good
6,Acceptable,Poor,Acceptable,Bad,Mediocre
7,Acceptable,Acceptable,Acceptable,Good,Acceptable
8,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
9,Acceptable,Poor,Mediocre,Mediocre,Poor
10,Acceptable,Acceptable,Mediocre,Mediocre,Acceptable
11,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
12,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre
13,Acceptable,Bad,Bad,Bad,Bad
14,Acceptable,Acceptable,Acceptable,Good,Acceptable
15,Acceptable,Bad,Acceptable,Acceptable,Poor
16,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
17,Acceptable,Good,Acceptable,Acceptable,Acceptable
18,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
19,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
20,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
21,Acceptable,Bad,Bad,Bad,Bad
22,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
23,Acceptable,Bad,Bad,Poor,Bad
24,Acceptable,Mediocre,Acceptable,Mediocre,Mediocre
25,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
26,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
27,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
28,Acceptable,Good,Good,Good,Good
29,Acceptable,Acceptable,Acceptable,Good,Acceptable
30,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
31,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
32,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
33,Acceptable,Poor,Poor,Bad,Poor
34,Acceptable,Bad,Bad,Bad,Bad
35,Acceptable,Bad,Bad,Bad,Bad
36,Acceptable,Bad,Bad,Bad,Bad
37,Acceptable,Mediocre,Mediocre,Mediocre,Acceptable
38,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
39,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
40,Acceptable,Bad,Acceptable,Bad,Acceptable
41,Acceptable,Acceptable,Acceptable,Good,Acceptable
42,Acceptable,Bad,Bad,Mediocre,Bad
43,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
44,Acceptable,Acceptable,Mediocre,Acceptable,Mediocre
45,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
46,Acceptable,Good,Good,Good,Good
47,Acceptable,Mediocre,Poor,Bad,Poor
48,Acceptable,Poor,Mediocre,Bad,Mediocre
49,Acceptable,Bad,Bad,Bad,Bad
50,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
51,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
52,Acceptable,Acceptable,Acceptable,Good,Acceptable
53,Acceptable,Acceptable,Acceptable,Good,Acceptable
54,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
55,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
56,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
57,Acceptable,Bad,Bad,Bad,Bad
58,Acceptable,Mediocre,Mediocre,Poor,Mediocre
59,Acceptable,Good,Good,Good,Good
60,Acceptable,Mediocre,Mediocre,Bad,Mediocre
61,Acceptable,Bad,Bad,Bad,Poor
62,Acceptable,Bad,Bad,Bad,Bad
63,Acceptable,Good,Good,Mediocre,Good
64,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
65,Acceptable,Acceptable,Acceptable,Good,Good
66,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre
67,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
68,Acceptable,Acceptable,Acceptable,Good,Good
69,Acceptable,Good,Good,Good,Good
70,Acceptable,Bad,Bad,Bad,Poor
71,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
72,Acceptable,Good,Good,Good,Good
73,Acceptable,Good,Good,Good,Good
74,Acceptable,Acceptable,Mediocre,Acceptable,Acceptable
75,Acceptable,Acceptable,Mediocre,Mediocre,Mediocre
76,Acceptable,Acceptable,Good,Acceptable,Acceptable
77,Acceptable,Mediocre,Poor,Bad,Mediocre
78,Acceptable,Bad,Bad,Bad,Bad
79,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
80,Acceptable,Mediocre,Mediocre,Acceptable,Mediocre
81,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
82,Acceptable,Mediocre,Mediocre,Bad,Mediocre
83,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
84,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
85,Acceptable,Acceptable,Acceptable,Good,Acceptable
86,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
87,Acceptable,Mediocre,Mediocre,Bad,Mediocre
88,Acceptable,Good,Good,Acceptable,Good
89,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
90,Acceptable,Acceptable,Acceptable,Good,Acceptable
91,Acceptable,Good,Good,Good,Good
92,Acceptable,Mediocre,Mediocre,Good,Mediocre
93,Acceptable,Bad,Bad,Bad,Bad
94,Acceptable,Poor,Poor,Bad,Poor
95,Acceptable,Good,Good,Good,Good
96,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
97,Acceptable,Acceptable,Acceptable,Mediocre,Acceptable
98,Acceptable,Bad,Mediocre,Bad,Mediocre
99,Acceptable,Mediocre,Mediocre,Mediocre,Mediocre
100,Acceptable,Poor,Poor,Mediocre,Poor
